"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-01","9.84",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","52",",,W","34",",,W","  290",",,W","  270",",,W","21.0",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-02","10.07",",,W",,,"0.31",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400","40","H,,S","43",",,W","34",",,W","   50",",,W","   60",",,W","16.1",",,W","19.0",",,W","    1",",,W",,,,,"    1",",,W",,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-03","13.42",",,W",,,"0.46",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","46",",,W","41",",,W","   60",",,W","   50",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-04","17.67",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","55",",,W","35",",,W","  290",",,W","  270",",,W","29.1",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-05","17.67",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","34","H,,S","35",",,W","28",",,W","  260",",,W","  280",",,W","31.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-06","8.72",",,W",,,"0.03",",,W,2400","1.1",",,W,2400","1.2",",,W,2400","32","H,,S","36",",,W","27",",,W","  330",",,W","  310",",,W","17.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-07","16.11",",,W",,,"0.22",",,W,2400","8.2",",,W,2400","0.0","T,,W,2400","25","H,,S","27",",,W","21",",,W","  340",",,W","  350",",,W","29.1",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-08","18.34",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","7.9",",,W,2400","21","H,,S","26",",,W","18",",,W","  320",",,W","  310",",,W","29.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-09","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","7.1",",,W,2400","20","H,,S","24",",,W","13",",,W","  240",",,W","  300",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-10","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400","27","H,,S","47",",,W","20",",,W","  170",",,W","  180",",,W","25.1",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-11","11.63",",,W",,,"0.46",",,W,2400","0.0",",,W,2400","1.2",",,W,2400","45","H,,S","51",",,W","41",",,W","  210",",,W","  210",",,W","23.9",",,W","32.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-12","11.41",",,W",,,"0.10",",,W,2400","0.0",",,W,2400","1.2",",,W,2400","50","H,,S","61",",,W","46",",,W","  230",",,W","  220",",,W","18.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-13","16.78",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","50","H,,S","58",",,W","34",",,W","  320",",,W","  320",",,W","29.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-14","5.82",",,W",,,"0.15",",,W,2400","1.8",",,W,2400","0.0",",,W,2400","32","H,,S","34",",,W","28",",,W","   10",",,W","   10",",,W","14.1",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-15","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","2.0",",,W,2400","35","H,,S","41",",,W","30",",,W","  360",",,W","  350",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-16","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400","35","H,,S","42",",,W","28",",,W","  240",",,W","  240",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-17","7.38",",,W",,,"0.59",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","43",",,W","39",",,W","  240",",,W","  240",",,W","15.0",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-18","10.74",",,W",,,"0.09",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","41","H,,S","42",",,W","40",",,W","   20",",,W","   40",",,W","16.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-19","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","54",",,W","37",",,W","  320",",,W","  320",",,W","16.1",",,W","19.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-20","5.59",",,W",,,"0.08",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","46",",,W","42",",,W","   40",",,W","   60",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-21","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","47",",,W","42",",,W","  250",",,W","  250",",,W","14.1",",,W","17.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-22","8.95",",,W",,,"0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","54",",,W","43",",,W","   60",",,W","   80",",,W","28.0",",,W","34.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-23","25.05",",,W",,,"0.84",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","47",",,W","38",",,W","   50",",,W","   50",",,W","36.9",",,W","47.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-24","21.70",",,W",,,"1.22",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","40",",,W","38",",,W","   40",",,W","   50",",,W","40.0",",,W","52.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-25","14.76",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","42","H,,S","51",",,W","37",",,W","  310",",,W","  300",",,W","29.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-26","14.76",",,W",,,"0.03",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","55",",,W","42",",,W","  290",",,W","  290",",,W","35.1",",,W","42.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-27","20.80",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","42","H,,S","46",",,W","36",",,W","  260",",,W","  260",",,W","29.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-28","17.67",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","37","H,,S","40",",,W","34",",,W","  250",",,W","  250",",,W","28.0",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-29","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","46",",,W","30",",,W","  270",",,W","  270",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
